Group.1 tBodyAcc.mean...X tBodyAcc.mean...Y tBodyAcc.mean...Z tBodyAcc.std...X tBodyAcc.std...Y tBodyAcc.std...Z tGravityAcc.mean...X tGravityAcc.mean...Y tGravityAcc.mean...Z tGravityAcc.std...X tGravityAcc.std...Y tGravityAcc.std...Z tBodyAccJerk.mean...X tBodyAccJerk.mean...Y tBodyAccJerk.mean...Z tBodyAccJerk.std...X tBodyAccJerk.std...Y tBodyAccJerk.std...Z tBodyGyro.mean...X tBodyGyro.mean...Y tBodyGyro.mean...Z tBodyGyro.std...X tBodyGyro.std...Y tBodyGyro.std...Z tBodyGyroJerk.mean...X tBodyGyroJerk.mean...Y tBodyGyroJerk.mean...Z tBodyGyroJerk.std...X tBodyGyroJerk.std...Y tBodyGyroJerk.std...Z tBodyAccMag.mean.. tBodyAccMag.std.. tGravityAccMag.mean.. tGravityAccMag.std.. tBodyAccJerkMag.mean.. tBodyAccJerkMag.std.. tBodyGyroMag.mean.. tBodyGyroMag.std.. tBodyGyroJerkMag.mean.. tBodyGyroJerkMag.std.. fBodyAcc.mean...X fBodyAcc.mean...Y fBodyAcc.mean...Z fBodyAcc.std...X fBodyAcc.std...Y fBodyAcc.std...Z fBodyAccJerk.mean...X fBodyAccJerk.mean...Y fBodyAccJerk.mean...Z fBodyAccJerk.std...X fBodyAccJerk.std...Y fBodyAccJerk.std...Z fBodyGyro.mean...X fBodyGyro.mean...Y fBodyGyro.mean...Z fBodyGyro.std...X fBodyGyro.std...Y fBodyGyro.std...Z fBodyAccMag.mean.. fBodyAccMag.std.. fBodyBodyAccJerkMag.mean.. fBodyBodyAccJerkMag.std.. fBodyBodyGyroMag.mean.. fBodyBodyGyroMag.std.. fBodyBodyGyroJerkMag.mean.. fBodyBodyGyroJerkMag.std..
LAYING             0.2686486          -0.01831773        -0.1074356         -0.9609324         -0.94350719        -0.9480693         -0.3750213          0.62227036         0.55561247        -0.9433197         -0.9631917         -0.9518687         0.08184739         0.0111723565       -0.0048597694      -0.98038181        -0.97114757        -0.9794766         -0.0167253403      -0.09341071        0.12588514         -0.9678924         -0.9631925         -0.9635092         -0.10186430        -0.03819809        -0.06384982        -0.9761248         -0.9804736         -0.9847825         -0.9411107         -0.9321600         -0.9411107         -0.9321600         -0.9792088         -0.97424057        -0.9384360         -0.9405961         -0.9827266         -0.9767550         -0.96681207        -0.95267842        -0.9600180         -0.9590315         -0.942460971       -0.9456436         -0.98019766        -0.9713836         -0.9766145         -0.98245960        -0.97305124        -0.9809719         -0.9629150         -0.9675821         -0.9641844         -0.9697473         -0.9613654         -0.9667252         -0.9476727         -0.93491667        -0.974300115       -0.97318340        -0.9548545         -0.9421157         -0.9779682         -0.9766482        
SITTING            0.2730596          -0.01268957        -0.1055170         -0.9834462         -0.93488056        -0.9389816          0.8797312          0.10871354         0.15377409        -0.9796822         -0.9576727         -0.9473574         0.07587885         0.0050469053       -0.0024866606      -0.98499723        -0.97388316        -0.9822965         -0.0384313168      -0.07212081        0.07777715         -0.9810222         -0.9667081         -0.9580075         -0.09565211        -0.04077978        -0.05075553        -0.9857051         -0.9865023         -0.9838055         -0.9546439         -0.9393242         -0.9546439         -0.9393242         -0.9824444         -0.97890708        -0.9467241         -0.9511990         -0.9878801         -0.9846076         -0.98309197        -0.94791797        -0.9570310         -0.9837473         -0.932533490       -0.9343367         -0.98518877        -0.9739882         -0.9795620         -0.98618495        -0.97575086        -0.9836708         -0.9772673         -0.9724576         -0.9610287         -0.9823333         -0.9640337         -0.9610302         -0.9524104         -0.94200015        -0.978684370       -0.97815477        -0.9642961         -0.9516417         -0.9853356         -0.9844914        
STANDING           0.2791535          -0.01615189        -0.1065869         -0.9844347         -0.93250871        -0.9399135          0.9414796         -0.18424651        -0.01405196        -0.9880152         -0.9693518         -0.9530825         0.07502792         0.0088052586       -0.0045820613      -0.97996856        -0.96434275        -0.9794859         -0.0266871408      -0.06771187        0.08014224         -0.9455284         -0.9612933         -0.9570531         -0.09972928        -0.04231711        -0.05209555        -0.9669579         -0.9802633         -0.9770671         -0.9541797         -0.9465348         -0.9541797         -0.9465348         -0.9771180         -0.97145298        -0.9421525         -0.9295312         -0.9786971         -0.9735286         -0.98162230        -0.94313238        -0.9573597         -0.9858598         -0.931132967       -0.9354396         -0.98000869        -0.9645474         -0.9761578         -0.98182608        -0.96683163        -0.9815093         -0.9436543         -0.9653028         -0.9583850         -0.9469716         -0.9594986         -0.9606892         -0.9558681         -0.94960161        -0.971090424       -0.97094797        -0.9479085         -0.9306367         -0.9748860         -0.9734611        
WALKING            0.2763369          -0.01790683        -0.1088817         -0.3146445         -0.02358295        -0.2739208          0.9349916         -0.19671350        -0.05382512        -0.9776121         -0.9669039         -0.9545976         0.07671874         0.0115061925       -0.0023193861      -0.26728816        -0.10314114        -0.4791471         -0.0347275767      -0.06942004        0.08636265         -0.4699148         -0.3479218         -0.3384486         -0.09430071        -0.04457011        -0.05400647        -0.3762214         -0.5126191         -0.4474272         -0.1679379         -0.3377540         -0.1679379         -0.3377540         -0.2414520         -0.21455589        -0.2748660         -0.3826290         -0.4605115         -0.4988410         -0.29789093        -0.04233922        -0.3418407         -0.3228358         -0.077206342       -0.2960783         -0.31112744        -0.1703951         -0.4510105         -0.28789769        -0.09086991        -0.5063291         -0.3482374         -0.3883849         -0.3104062         -0.5104320         -0.3319615         -0.4105691         -0.2755581         -0.48000228        -0.214653972       -0.22161777        -0.4091730         -0.4738331         -0.5155168         -0.5144048        
WALKING_DOWNSTAIRS 0.2881372          -0.01631193        -0.1057616          0.1007663          0.05954862        -0.1908045          0.9264574         -0.16850722        -0.04797090        -0.9497488         -0.9342661         -0.9124606         0.08922669         0.0007467491       -0.0087286040      -0.03388265        -0.07367441        -0.3886661         -0.0840345435      -0.05299286        0.09467820         -0.3338175         -0.3396314         -0.2728099         -0.07285323        -0.05126398        -0.05469615        -0.3826898         -0.4659438         -0.3264560          0.1012497          0.1164889          0.1012497          0.1164889         -0.1118018         -0.01122067        -0.1297856         -0.2514278         -0.4168916         -0.4409293          0.03525967         0.05668265        -0.2137292          0.1219380         -0.008233671       -0.2458729         -0.07229678        -0.1163806         -0.3331903         -0.08219052        -0.09141646        -0.4435547         -0.2179229         -0.3175927         -0.1656251         -0.3751275         -0.3618537         -0.3804100          0.1428494         -0.07542517         0.004762459       -0.04227142        -0.2895258         -0.3612310         -0.4380073         -0.4864430        
WALKING_UPSTAIRS   0.2622946          -0.02592329        -0.1205379         -0.2379897         -0.01603251        -0.1754497          0.8750034         -0.28137719        -0.14079567        -0.9481913         -0.9255493         -0.9019056         0.07672932         0.0087588896       -0.0060095340      -0.36086343        -0.33922650        -0.6270636          0.0068244960      -0.08852253        0.05989381         -0.4676071         -0.3442318         -0.2371368         -0.11211746        -0.03861927        -0.05258103        -0.5531328         -0.6673392         -0.5609892         -0.1002041         -0.2498752         -0.1002041         -0.2498752         -0.3909386         -0.38540035        -0.1782811         -0.3371421         -0.6080471         -0.6668367         -0.29340675        -0.13495051        -0.3681221         -0.2188880         -0.021811037       -0.1466018         -0.38989677        -0.3646668         -0.5916701         -0.38899276        -0.35763293        -0.6615908         -0.3942482         -0.4592535         -0.2968577         -0.4952540         -0.2931818         -0.2920413         -0.2620281         -0.36175346        -0.353962000       -0.43420673        -0.4497814         -0.3814064         -0.6586945         -0.7030835        
1                  0.2656969          -0.01829817        -0.1078457         -0.5457953         -0.36771622        -0.5026457          0.7448674         -0.08255626         0.07233987        -0.9598594         -0.9511506         -0.9258176         0.07709305         0.0165908439       -0.0091075873      -0.52472192        -0.47041240        -0.7173223         -0.0208764064      -0.08807227        0.08626417         -0.6865557         -0.4509798         -0.5974961         -0.09711202        -0.04171648        -0.04713940        -0.6378127         -0.6344722         -0.6645920         -0.4536329         -0.4970964         -0.4536329         -0.4970964         -0.5454316         -0.51592217        -0.4754048         -0.4998396         -0.6395174         -0.6520508         -0.53189516        -0.40643545        -0.5964112         -0.5530606         -0.390150940       -0.4985831         -0.54734889        -0.5073436         -0.6953051         -0.54397978        -0.46625168        -0.7378619         -0.6232192         -0.5053094         -0.5535291         -0.7082634         -0.4298258         -0.6504762         -0.4784485         -0.58971023        -0.499075766       -0.54182308        -0.5350028         -0.5665767         -0.6459707         -0.6858113        
2                  0.2731131          -0.01913232        -0.1156500         -0.6055865         -0.42896299        -0.5893601          0.6607829         -0.14721989         0.13486534        -0.9630155         -0.9600336         -0.9453654         0.07853532         0.0070877125        0.0007557607      -0.55780960        -0.49187589        -0.7418854         -0.0517030658      -0.05684202        0.08725994         -0.7106489         -0.7229437         -0.6348889         -0.08755875        -0.04339868        -0.05575418        -0.6716791         -0.7835955         -0.6746119         -0.5352818         -0.5528125         -0.5352818         -0.5528125         -0.5877774         -0.51211528        -0.6147711         -0.6805849         -0.7465595         -0.7400887         -0.57377091        -0.43256658        -0.6300812         -0.6197881         -0.464723863       -0.6006786         -0.56168205        -0.5089038         -0.7157453         -0.59510561        -0.50914754        -0.7670870         -0.6387177         -0.7220690         -0.6015949         -0.7345885         -0.7271677         -0.6831145         -0.5145699         -0.64666231        -0.509746433       -0.51880080        -0.6997429         -0.7253103         -0.7516151         -0.7441950        
3                  0.2734287          -0.01785607        -0.1064926         -0.6234136         -0.48001592        -0.6536256          0.7078144         -0.02605905         0.04809379        -0.9664576         -0.9445645         -0.9269663         0.07017313         0.0144664329       -0.0005268189      -0.63548469        -0.55721187        -0.7960662         -0.0248490683      -0.07435653        0.08668755         -0.6992622         -0.7630222         -0.7094834         -0.09915546        -0.04019239        -0.05211783        -0.6893284         -0.8426599         -0.7430285         -0.5631408         -0.5912248         -0.5631408         -0.5912248         -0.6501824         -0.60765821        -0.6431501         -0.6740103         -0.7840567         -0.8036614         -0.62573329        -0.50177994        -0.6996568         -0.6238050         -0.502753640       -0.6574438         -0.64589350        -0.5829499         -0.7801016         -0.65784406        -0.55985119        -0.8108060         -0.6420977         -0.7751450         -0.6707347         -0.7192766         -0.7585053         -0.7510089         -0.5790765         -0.66307984        -0.604752108       -0.61564369        -0.7168221         -0.7038394         -0.8100855         -0.8100327        
4                  0.2741831          -0.01480815        -0.1075214         -0.6052117         -0.50992938        -0.7094927          0.7065930          0.11259120         0.16413090        -0.9626370         -0.9414168         -0.9414034         0.07886378         0.0035134095       -0.0073737514      -0.63185308        -0.58406320        -0.8433532         -0.0289417907      -0.07872299        0.09571749         -0.7013977         -0.7982357         -0.7263742         -0.10785932        -0.04004276        -0.05780893        -0.7237886         -0.9025026         -0.7483691         -0.5615821         -0.6065560         -0.5615821         -0.6065560         -0.6561163         -0.64724997        -0.6562911         -0.7067385         -0.8191914         -0.8441871         -0.62880638        -0.52583457        -0.7552354         -0.5975513         -0.534661524       -0.7087640         -0.65202308        -0.6016962         -0.8251549         -0.64462200        -0.59385515        -0.8605447         -0.6418820         -0.8315275         -0.6893089         -0.7217492         -0.7828857         -0.7670896         -0.6020980         -0.67294834        -0.635019005       -0.66650672        -0.7456508         -0.7325863         -0.8388332         -0.8630969        
